id,created_by,last_amended_by,project_id,progress_item,category,status,target
7,asadan,asadan,4,Formal Consultation,Complete,Complete,
8,asadan,asadan,4,Official Plan Amendment & Re-Zoning,Pending,Pending,2023-06-01
9,asadan,asadan,4,Site Plan,Pending,Pending,2023-09-01
10,asadan,asadan,4,Building Permit,Pending,Pending,2023-12-01
17,asadan,asadan,1,Formal Consultation,Complete,Complete,
18,asadan,asadan,1,Official Plan Amendment & Re-Zoning,Pending,Pending,2023-06-01
19,asadan,asadan,1,Site Plan,Pending,Pending,2023-09-01
20,asadan,asadan,1,Building Permit,Pending,Pending,2023-12-01
1,asadan,asadan,4,Environmental Phase I & II,Complete,Complete,
2,asadan,asadan,4,Preliminary Geotchnnical Study,Complete,Complete,
3,asadan,asadan,4,Archeological Assessment,Complete,Complete,
4,asadan,asadan,4,Preliminary Architectural Design,Complete,Complete,
5,asadan,asadan,4,Noise Assessment,Complete,Complete,
6,asadan,asadan,4,Site Servicing Assessment,Complete,Complete,
11,asadan,asadan,1,Environmental Phase I & II,Complete,Complete,
12,asadan,asadan,1,Preliminary Geotchnnical Study,Complete,Complete,
13,asadan,asadan,1,Archeological Assessment,Complete,Complete,
14,asadan,asadan,1,Preliminary Architectural Design,Complete,Complete,
15,asadan,asadan,1,Noise Assessment,Complete,Complete,
16,asadan,asadan,1,Site Servicing Assessment,Complete,Complete,
