id,created_by,last_amended_by,category,first_name,last_name,position,company,linkedin,bio_link
4,asadan,asadan,Planning and Community Engagement,Robert,Walter-Joseph,Urban Planner,Gladki Planning & Associates,,
5,asadan,asadan,Design and Construction,Sam,Spagnuolo,Lead Architect,CS&P Architects,,
6,asadan,asadan,Design and Construction,Aaron,Engel,Construction Manager,AEC Developments,,
7,asadan,asadan,Design and Construction,James,Samuel,Structural Engineer,JP Samuel & Associates,,
8,asadan,asadan,Design and Construction,Ashraff,Abass,Geotechnical Engineer,G2S Consulting,,
9,asadan,asadan,Design and Construction,Brian,Verspagen,Civil Engineer,WalterFedy,,
10,asadan,asadan,"Finance, Accounting and Legal",Brent,Walker,Financial Advisor,Morrison Park Advisors,,
11,asadan,asadan,"Finance, Accounting and Legal",Jennifer,Agro,Assurance Accountant,BDO Canada LLP,,
12,asadan,asadan,"Finance, Accounting and Legal",Danny,McMullen,Legal Advisor,Northview Law,,
13,ayoung,ayoung,"Finance, Accounting and Legal",Lorenzo,Bonnano,Tax Accountant,BDO Canada LLP,,
3,asadan,ayoung,Planning and Community Engagement,Joe,Mihevc,Community Enagement Lead,Mihevc Consulting and Mediation,,
2,asadan,ayoung,Leadership,Miriam,Young,"Director, Health Design",One Way Path Communities,,
1,asadan,ayoung,Leadership,Alex,Young,"Director, Finance",One Way Path Communities,,
